	SubjectID1	SubjectID2	Group1	Group2	Distance
108	Con5	ZnCA4	Con	ZnCA	0.6747297297297298
109	Con5	ZnCA5	Con	ZnCA	0.6571081081081082
0	DSS2	DSS1	DSS	DSS	0.31275675675675674
1	DSS3	DSS1	DSS	DSS	0.3101891891891892
2	DSS3	DSS2	DSS	DSS	0.26197297297297295
3	DSS4	DSS1	DSS	DSS	0.4306216216216216
4	DSS4	DSS2	DSS	DSS	0.4121351351351351
5	DSS4	DSS3	DSS	DSS	0.4595945945945946
6	DSS5	DSS1	DSS	DSS	0.5615405405405406
7	DSS5	DSS2	DSS	DSS	0.4486486486486487
8	DSS5	DSS3	DSS	DSS	0.5147027027027027
9	DSS5	DSS4	DSS	DSS	0.3485135135135135
10	DSS1	Con1	DSS	Con	0.704945945945946
11	DSS1	Con2	DSS	Con	0.6623243243243243
12	DSS1	Con3	DSS	Con	0.6864864864864865
13	DSS1	Con4	DSS	Con	0.6677297297297298
14	DSS1	Con5	DSS	Con	0.6884054054054054
15	DSS2	Con1	DSS	Con	0.7368918918918919
16	DSS2	Con2	DSS	Con	0.6677567567567567
17	DSS2	Con3	DSS	Con	0.7214594594594594
18	DSS2	Con4	DSS	Con	0.6942972972972973
19	DSS2	Con5	DSS	Con	0.7143513513513513
20	DSS3	Con1	DSS	Con	0.7464864864864865
21	DSS3	Con2	DSS	Con	0.688
22	DSS3	Con3	DSS	Con	0.7379189189189189
23	DSS3	Con4	DSS	Con	0.7027297297297297
24	DSS3	Con5	DSS	Con	0.7117027027027027
25	DSS4	Con1	DSS	Con	0.7649459459459459
26	DSS4	Con2	DSS	Con	0.7357297297297297
27	DSS4	Con3	DSS	Con	0.7421891891891892
28	DSS4	Con4	DSS	Con	0.7124594594594594
29	DSS4	Con5	DSS	Con	0.7375675675675676
30	DSS5	Con1	DSS	Con	0.7801351351351351
31	DSS5	Con2	DSS	Con	0.7324864864864865
32	DSS5	Con3	DSS	Con	0.7842972972972972
33	DSS5	Con4	DSS	Con	0.7471621621621621
34	DSS5	Con5	DSS	Con	0.7578108108108108
35	DSS1	ZCAh1	DSS	ZCAh	0.37932432432432434
36	DSS1	ZCAh2	DSS	ZCAh	0.3695945945945946
37	DSS1	ZCAh3	DSS	ZCAh	0.40583783783783783
38	DSS1	ZCAh4	DSS	ZCAh	0.35643243243243244
