,ZCAm2,ZnCA4,Con5,ZCAm5,ZnCA2,ZnCA3,Con1,Con3,DSS4,ZCAh4,ZCAm3,DSS5,DSS3,ZCAh5,DSS2,ZCAm4,ZnCA5,ZCAh3,ZCAh2,Con4,DSS1,ZCAm1,ZCAh1,ZnCA1,Con2
f__Muribaculaceae__1,0.0776578141127513,0.0690183396451215,0.0539891568630412,0.0245627294320881,0.0525845405607632,0.0488257782632441,0.0698433308844886,0.0921390249591789,0.0263496279432534,0.0671055928287074,0.0509338822685124,0.0208413905719565,0.0251813913785745,0.0541721747106591,0.0284852840640174,0.070249168017749,0.0602555248618785,0.0765390014036495,0.0664941041127409,0.0662037429079516,0.0425071070800054,0.0659631801816082,0.087288380039495,0.0486869157888043,0.0191695782380834
f__Muribaculaceae__5,0.0193653030129266,0.0153823241564189,0.0135916758536328,0.00712589073634204,0.0124082888200694,0.0116220644456581,0.0192205839640532,0.023359658769036,0.00567043993338814,0.0157150413407199,0.0111423769145059,0.00444759571999484,0.00526390667235738,0.0142174980440823,0.00664364471400775,0.0181542793753733,0.0132294544198895,0.0182674954882695,0.0145719489981785,0.0181725802354137,0.0103850393548512,0.0163945562826929,0.0211897313008942,0.0130566565633015,0.00531881707012728
f__Muribaculaceae__4,0.016727558693907,0.0161695247010765,0.0119002673029585,0.00615417836320449,0.0138216282501611,0.0124959038776625,0.0148639182655345,0.0186610683461628,0.00512236767216847,0.0162161409760307,0.0105002738380767,0.00285763396502084,0.00310956648984818,0.0146491488385896,0.00308517538170281,0.0173649628807919,0.0141142955801105,0.0191497894525767,0.00864730131339277,0.0125836226606825,0.00469937535051925,0.0122959172120197,0.0239854445405933,0.0122936052057059,0.00291677065136012
f__Nanosyncoccaceae,0.00578337729573865,0.00293604527466916,0.00717338447830618,0.00520945800043187,0.00521688524930892,0.00690333151283452,0.0199723223590918,0.00524842547235829,0.00299331773435359,0.00719634754043596,0.00687427999471209,0.00176184951226849,0.00231693189439668,0.00466722421560957,0.00380388101039494,0.00249594675313593,0.00688449585635359,0.0068979346300381,0.00561786981113987,0.00746887966804979,0.00208861126689745,0.0161454677203868,0.0060351904856997,0.00358210220649018,0.00731532318442725
f__Muribaculaceae; g__Sodaliphilus; s__Sodaliphilus pleomorphus__2,0.00539017317364877,0.00348921322496915,0.0264886660525243,0.0033740012956165,0.00554943570344813,0.0049808847624249,0.0146247287762041,0.0221933419974008,0.00297223803199899,0.00789231925614543,0.00498574153462635,0.000966868634781488,0.00111781801922647,0.00577332937653438,0.0026819990534121,0.00629319907841966,0.00617230662983425,0.00655704832564668,0.00435241108235069,0.0268100601236345,0.00479607031657932,0.00307964040669369,0.00880871552508376,0.00262828800949575,0.0134452208634889
f__Muribaculaceae__3,0.00458738142438193,0.00687204799795753,0.0119002673029585,0.00558734614554092,0.00575727973728514,0.00321135991261606,0.0100459585518785,0.0163117731347262,0.00212904993781488,0.00775312491300354,0.00262506845951918,0.000494177302221649,0.000386155315732781,0.003992769849192,0.000455764545024278,0.00524788804505504,0.00356094613259669,0.00453178263485061,0.00462084172179082,0.0173596409518164,0.00143108549768899,0.00817463372659134,0.00989593734052231,0.00455711227452892,0.0118386573496381
f__Oscillospiraceae_88309__2,0.00117961236626964,0.00044678949831922,4.53055861787758e-05,0,0.00201608712821898,0.000808301474604041,0,0,0.000505912856510466,0.0005289385039392,0.00043436384581972,0.000537149241545271,0.00152429729894519,0.000215825397253622,0.00103423492909355,0.000255994538783173,0.000345303867403315,0.000180469219971927,0.000210909788131531,0,0.000792898721692549,0.00140395371481624,8.87528012602898e-05,0.000657072002373938,4.67931120539057e-05
f__Oscillospiraceae_88309__1,0.00106492783066009,0.000553167950299987,0.00299016868779921,0.00148456057007126,0.000145490823685906,0.000196613872200983,0.00035878423399566,0.000166616681662168,0.000463753451801261,0.000709891150023663,0.00500462691922721,0.0128700958274247,0.0054468223482308,0.000971214287641298,0.00518870405104563,0.00183462752794607,0.000129488950276243,0.000280729897734109,0.000479340427571661,0.000203234820899314,0.0102496664023671,0.00500441566087724,0.000110941001575362,0.00203480362025477,0.000889069129024208
f__CAG-314; g__CAG-314; s__CAG-314 sp900551395,4.9150515261235e-05,0.00025530828475384,4.53055861787758e-05,0.000161952062189592,4.15688067674017e-05,0.000196613872200983,3.41699270472058e-05,0,0.000147557916482219,4.17583029425684e-05,0.000358822307416291,0.000322289544927163,0.000325183423774973,0,0.000525882167335706,0.000106664391159655,0,0.000100260677762182,7.66944684114658e-05,0,0.000135372952484094,0.000158510903285705,0,0.000190762839398885,3.11954080359371e-05
