geneID	Control_1	Control_2	Control_3	DSS_1	DSS_2	DSS_3	ZnCA_1	ZnCA_2	ZnCA_3
ENSMUSG00000053317	223.48	273.9	192.83	345.96	251.71	266.26	367.79	399.64	376.97
ENSMUSG00000099398	0.89	0.91	0.66	2.44	1.85	1.39	0.93	1.42	1.97
ENSMUSG00000022901	3.27	3.35	3.02	8.51	8.35	12.22	10.28	7.64	6.07
ENSMUSG00000072571	14.75	16.57	19.8	37.38	49.52	33.31	17.85	25.13	27.22
ENSMUSG00000032841	1.75	1.15	3.41	4.02	4.48	7.99	3.27	2.58	2.29
ENSMUSG00000004709	1.67	0.85	1.03	6.22	5.14	6.16	2.89	2.12	1.81
ENSMUSG00000037902	18.99	17.16	21.39	92.06	59.52	50.23	46.48	42.14	38.63
ENSMUSG00000115020	0.53	0.51	0.64	0.25	0.24	0.2	0.17	0.23	0.19
ENSMUSG00000075012	2.24	0.98	1.15	3.46	4.04	2.62	1.47	1.56	1.29
ENSMUSG00000028373	0.47	0.73	0.5	1.54	1.19	0.96	0.47	1.32	0.78
ENSMUSG00000017724	33.35	49.89	18.94	7.38	2.03	0.27	4.75	6.33	4.59
ENSMUSG00000038296	5.75	5.24	3.93	11.26	11.19	8.83	4.69	4.54	4.82
ENSMUSG00000030830	2.88	2.35	1.7	17.18	10.06	17.76	9.57	6.87	5.69
ENSMUSG00000040605	17.24	15.17	18.45	11.55	11.86	9.43	16.17	32.87	14.67
ENSMUSG00000035407	0.6	0.3	0.19	0.64	0.75	1.27	0.46	0.66	0.64
ENSMUSG00000074671	1.64	1.77	1.43	4.05	3.02	3.68	2.24	2.55	2.36
ENSMUSG00000069094	67.78	74.44	71.92	29.29	36.45	20.78	21.29	7.92	44.76
ENSMUSG00000016496	7.84	4.01	3.85	12.47	11.39	89	28.72	10.03	22.19
ENSMUSG00000070327	18.19	10.85	9.77	15.29	22.4	48.96	24.87	12.16	27.97
ENSMUSG00000056569	2.7	2.99	7.12	1.68	1.85	2.3	0.61	0.59	1.89
ENSMUSG00000043004	12.59	13.54	13.34	34.95	19.71	26.88	23.93	15.96	14.04
ENSMUSG00000093861	98.16	136.37	167.82	137.08	152.8	221.29	185.25	624.58	357.94
ENSMUSG00000002111	11.84	6.14	7.66	53.2	28.77	45.05	31.14	28.26	18.74
ENSMUSG00000103585	0.68	0.54	0.86	0.88	1.41	0.83	0.27	0.47	0.3
ENSMUSG00000142319	0.09	0.58	0.42	5.97	4.79	5.69	3	0.25	2.53
ENSMUSG00000048731	7.79	3.84	7.92	4.28	8.79	5.85	3.16	4.42	3.22
ENSMUSG00000117406	0.96	0.2	0.26	1.46	1.24	0.82	0.37	1	0.61
ENSMUSG00000027366	83.1	81.22	72.4	175.17	194.6	254.11	140.21	147.75	163.65
ENSMUSG00000035208	1.63	1.34	0.64	4.8	4.93	10.26	5.32	2.8	3.01
ENSMUSG00000076569	4.37	12.81	28.54	39.52	17.09	14.49	26.72	144.48	35.75
ENSMUSG00000045165	5.04	3.47	2.74	8.42	8.46	8.79	6.38	5.06	5.25
ENSMUSG00000068245	4.51	3.99	5.93	15.28	14.45	42.18	24.15	23.46	19.36
ENSMUSG00000000031	0.27	0.19	0.98	3.47	2.3	2.13	2.35	5.64	0.99
ENSMUSG00000032053	5.24	6.12	4.93	19.53	7.93	7.57	6.69	5.53	8.47
ENSMUSG00000120963	6.44	6.42	12.68	1.27	3.36	2.37	2.59	4.63	3.84
ENSMUSG00000032739	0.49	0.76	0.82	4.87	2.28	1.91	0.93	1.66	1.3
ENSMUSG00000022488	5.76	6.17	5.09	25.13	19.27	21.12	14.81	16.14	11.92
ENSMUSG00000037548	8	12.6	7.1	33.47	15.81	12.83	13.32	9.73	10.03
ENSMUSG00000071637	20.89	15.4	11.15	37.02	92.95	56.02	31.95	17.08	28.8
ENSMUSG00000050578	3.56	2.53	1.63	56.13	16.04	18.04	39.39	31.94	6.88
ENSMUSG00000029260	149.57	149.2	161.75	68.36	69.88	32.48	91.89	132.58	121.46
ENSMUSG00000114612	1.61	1.78	1.75	0.57	1.18	0.61	0.58	0.59	0.55
ENSMUSG00000030030	4.17	3.61	4.06	1.91	1.79	1.25	1.07	1.41	1.99
ENSMUSG00000068299	9.76	9.18	10.34	11.29	23.83	24.58	16.48	5.12	14.93
ENSMUSG00000070594	0.4	0.69	0.47	2.87	1.74	1.39	0.98	0.73	0.59
ENSMUSG00000047898	0.16	0.14	0.15	2.24	1.23	2.14	1.28	0.61	0.42
ENSMUSG00000000197	0.22	0.39	0.34	0.68	0.77	0.68	0.29	0.34	0.49
ENSMUSG00000079014	0	0.18	0	3.01	1.9	1.53	1.08	0.77	1.35
ENSMUSG00000068129	0.69	0.89	1.09	5.06	1.73	3.56	1.92	2.65	0.92
ENSMUSG00000036469	1.8	3.44	2.83	14.18	10.77	10.29	8.04	5.15	6.02
ENSMUSG00000093606	1.74	1.62	2.72	0.94	1.14	0.14	0.63	1.2	0.6
ENSMUSG00000026163	0.49	0.67	0.51	1.78	0.76	1.23	0.59	0.49	0.44
ENSMUSG00000027957	166.48	188.31	162.15	105.64	75.28	46.57	77.52	80.66	117.07
ENSMUSG00000030793	128.17	126.23	139.76	131.26	92.21	79.42	203.81	294.75	187.1
ENSMUSG00000014329	7.66	6.98	6.67	23.61	16.53	12.76	10.88	14.04	7.89
ENSMUSG00000120442	13.36	19.51	14.25	15.25	11.89	9.89	4.77	7.81	7.99
ENSMUSG00000025154	3.09	2.57	2.3	12.12	7.02	6.42	5.98	5.68	4.81
ENSMUSG00000014704	5.67	4.68	3.73	2.46	2.56	1.57	1.18	3.42	2.14
ENSMUSG00000026770	0.64	0.72	0.66	6.59	2.81	4.2	3.37	1.63	1.05
ENSMUSG00000039286	19.72	22.42	22.45	57.6	41.92	33.23	19.62	18.6	29.99
ENSMUSG00000090104	3.58	1.94	3.39	4.84	13.83	22.71	9.27	1.41	13.2
ENSMUSG00000001444	0	0.11	0.14	0.67	0.48	1.84	1.09	0.93	0.27
ENSMUSG00000071613	1.03	0.92	0.91	0.62	0.87	0.46	0.25	0.17	0.51
ENSMUSG00000038550	4.4	6.96	11.7	3.47	4.54	2.33	1.12	1.29	3.44
ENSMUSG00000020077	20.26	33.3	18.59	231.42	99.04	177.66	120.46	90.18	61.38
ENSMUSG00000021457	24.73	24.68	17.63	52.14	53.48	35.46	26.66	20.2	31.65
ENSMUSG00000041347	1.26	2.64	0.77	14	5.19	2.75	5.71	2.91	2.47
ENSMUSG00000005824	0.31	0.1	0.25	5.52	2.93	2.99	1.83	1.97	1.42
ENSMUSG00000030157	64.37	65.71	68.05	99.98	114.63	185.76	131.42	151.83	120.78
ENSMUSG00000047033	0.46	0.09	0.12	0.77	1.48	0.57	0.46	0.64	0.71
ENSMUSG00000006522	0.85	1.86	1.22	5.26	5.91	3.59	1.89	2.63	1.58
ENSMUSG00000001930	14.43	14.09	9.87	34.72	28.35	18.95	12.76	11.71	11.37
ENSMUSG00000042677	20.47	9.74	7.48	52.57	70.87	78.95	33.07	18.25	28.87
ENSMUSG00000070031	11.04	7.44	9.73	19.12	14.4	31.19	22.31	12.85	16.49
ENSMUSG00000027514	27.42	11.83	10.37	51.37	91.65	267.63	148.38	72.73	152.21
ENSMUSG00000097558	0.43	0.22	0.29	0.53	1.07	0.96	0.54	0.59	0.47
ENSMUSG00000040412	35.41	22.04	25.78	12.27	23.04	14.68	23.22	69.98	24.55
ENSMUSG00000026430	4.03	4.01	4.11	14.64	9.42	10.95	8.8	7.11	5.3
ENSMUSG00000056427	11.04	10.07	8.3	46.56	32.06	22.33	17.8	27.14	13.64
ENSMUSG00000043461	0.37	0.05	0	10.18	3.58	1.88	16.92	170.81	7.03
ENSMUSG00000048521	0.61	0.84	0.43	3.84	3.83	4.7	5.2	6.04	1.99
ENSMUSG00000071716	1.67	1.24	1.65	2.32	4.17	4.75	3.86	4.8	2.12
ENSMUSG00000109536	0.1	0.11	0.16	0.08	0.03	0.04	0.06	0.07	0.07
ENSMUSG00000035948	0.71	0.85	1.05	2.98	3.95	3.06	1.27	2.05	1.85
ENSMUSG00000036560	7.7	5.89	6.96	10.68	16.72	10.61	2.93	4.61	4.86
ENSMUSG00000022546	14.48	12.72	9.75	8.85	8.11	5.99	14.32	31.02	9.43
ENSMUSG00000000594	19.27	19.36	12.66	33.3	34.82	40.42	30.48	28.74	20.29
ENSMUSG00000014846	195.1	208.41	125.4	39.8	48.68	51.18	29.36	49.27	90.52
ENSMUSG00000073418	30.84	26.84	38.46	232.89	228.08	180.87	132.15	124.71	73.55
ENSMUSG00000053977	0.96	0.28	0.76	2.49	1.54	3.46	2.37	7.13	1.2
ENSMUSG00000019577	8.21	9.22	7.17	8.5	29.4	17.97	8.73	13.16	9.96
ENSMUSG00000062638	8.16	5.31	2.5	0.48	1.03	0.83	10.13	39.68	7.83
ENSMUSG00000032750	0.52	0.62	0.17	1.75	1.8	1.15	0.66	0.64	0.88
ENSMUSG00000019880	5.7	7.42	8.79	20.62	13.7	13.24	7.79	7.22	9.67
ENSMUSG00000025515	533.74	389.2	292.19	410.07	934.84	572.7	518.29	1159.31	577.53
ENSMUSG00000037979	3.43	4.25	2.08	2.88	6.75	3.83	1.88	2.22	2.24
ENSMUSG00000003123	11.03	7.84	9.77	20.77	22.41	20.58	11.99	17.48	10.46
ENSMUSG00000061013	15.89	23.18	21.91	6.58	2.29	6.06	6.18	8.83	5.62
ENSMUSG00000042770	6.11	4.39	7.5	20.16	15.32	12.7	11.35	14.65	7.13
ENSMUSG00000105730	3.15	2.71	3.39	1.01	1.07	0.51	1.56	2.87	0.74
ENSMUSG00000053175	45.6	22.95	13.55	52.17	81.35	59.59	42.15	24.75	49.58
ENSMUSG00000028527	1.45	2.65	2.26	20.84	24.89	21.14	7.79	16.65	3.22
ENSMUSG00000005268	2.18	1.69	2.06	0.39	0.29	0.25	0.39	2.86	0.36
ENSMUSG00000022667	0.74	1	1.25	5.35	3.5	3.88	3.25	2.43	2.14
ENSMUSG00000031853	14.91	10.15	9.91	4.53	3.5	1.9	4.44	6.94	5.71
ENSMUSG00000046387	0.97	1.39	1.2	3.06	3.04	2.71	1.57	1.36	1.7
ENSMUSG00000045319	9.3	8.3	10.43	3.69	5.83	3.7	2.85	5	4.03
ENSMUSG00000035697	7.7	9.35	8.44	31.21	23.81	26.05	16.33	13.2	10.46
ENSMUSG00000028713	2.49	1.92	2.92	3.63	4.77	4.12	2.29	12.66	3.01
ENSMUSG00000085399	34.13	33.94	15.12	13.66	16.23	4.45	14.57	38.32	19.81
ENSMUSG00000048058	21.65	21.67	22.34	10.8	9.87	4.95	6.46	6.54	10.08
ENSMUSG00000026921	23.71	28.87	31.49	62.45	57.02	45.36	32.13	33.53	32.65
ENSMUSG00000079243	0.68	0.81	0.56	0.39	0.53	0.42	0.18	0.06	0.35
ENSMUSG00000110720	14.07	10.11	93.08	53.44	61.82	129.31	356.57	154.22	212.37
ENSMUSG00000040867	2.38	1.69	1.14	3.13	4.69	3.44	1.6	1.83	1.63
ENSMUSG00000052142	3.39	2.69	1.71	11.3	8.75	8.9	4.59	3.22	3.35
ENSMUSG00000038304	0.66	0.09	0.45	2.52	1.74	1.95	1.59	3.96	1.46
ENSMUSG00000046546	9.03	9.4	7.42	16.41	19.39	18.96	9.58	7.35	12
ENSMUSG00000125984	2.19	1.85	4.37	1.27	0.99	0.52	0.55	1.78	1.28
ENSMUSG00000026614	4.35	6.82	1.32	0.14	0.4	0.1	0.47	3.82	0.56
ENSMUSG00000051855	3.06	2.83	2.27	5.18	4.87	5.94	2.53	1.96	3.35
ENSMUSG00000051951	1.62	0.88	1.3	0.69	0.57	0.61	0.3	0.44	0.68
ENSMUSG00000033805	7.79	6.61	6.85	2.28	3.86	1.74	4.36	5.52	6.45
ENSMUSG00000002033	1.13	2.01	1.48	9.16	4.91	6.63	8.35	12.83	3.14
ENSMUSG00000050953	30.15	33.92	32.64	103.4	60.74	42.69	52.86	50.41	41.29
ENSMUSG00000033826	4.56	6.57	6.82	1.37	0.86	0.74	3.82	2.03	1.25
ENSMUSG00000026834	2.78	1.68	1.62	0.7	1.04	0.83	0.96	1.75	1.15
ENSMUSG00000028158	1.42	1.64	1.42	3.58	3	2.07	2.02	3.51	1.06
ENSMUSG00000020120	6.05	5.81	4.27	37.09	15.65	23.86	19.78	12.7	12.96
ENSMUSG00000036896	52.38	40.12	42.73	189.97	217.7	193.06	153.44	154.08	99.45
ENSMUSG00000029201	110.68	111.21	130.58	68.87	61.41	39.78	79.52	216.94	98.28
ENSMUSG00000124529	1.43	1.17	1.08	0.4	0.51	0.43	0.34	0.96	0.51
ENSMUSG00000030043	2.04	2.75	1.69	10.03	7.28	5.38	3.31	3.69	3.56
ENSMUSG00000040441	0.54	1.47	0.66	1.64	1.93	1.57	0.93	1.27	0.49
ENSMUSG00000095642	153.84	68.89	37.45	132.57	463.88	314.87	119.15	115.49	80.15
ENSMUSG00000022358	81.25	86.67	92.06	56.78	141.6	75.53	27.63	16.66	58.47
ENSMUSG00000139678	66.23	56.9	49.05	116.39	101.83	119.08	124.96	118.86	128.63
ENSMUSG00000121900	1.3	1.92	1.06	0.85	1.2	1.23	0.71	0.39	0.56
ENSMUSG00000013653	39	24.34	23.58	113.98	129.78	72.19	236.79	3257.04	116.68
ENSMUSG00000053588	10.39	15.21	13.97	9.25	9.05	9.16	2.69	5.25	5.09
ENSMUSG00000105990	1.51	1.56	1.7	0.49	0.17	0.03	0.43	0.83	0.59
ENSMUSG00000024421	27.61	28.77	43.89	27.71	25.91	17.91	10.61	8.61	10.81
ENSMUSG00000104876	0.07	0.11	0.09	1.87	1.04	1	0.98	1.16	0.26
ENSMUSG00000021125	2.07	0.55	1.49	6.81	4.16	2	4.22	17.89	0.86
ENSMUSG00000019699	8.59	9.67	9.44	15.56	16.54	26.13	15.9	7.97	14.9
ENSMUSG00000003355	8.31	7.1	4.37	15.1	5.74	10.48	21.32	20.71	8.56
ENSMUSG00000053338	0.07	0	0	7.24	2.28	5.95	2.76	0.98	0.64
ENSMUSG00000025355	9.74	10.21	6.17	35.49	22.2	16.08	12.51	13.48	13.84
ENSMUSG00000073413	7.83	7.16	14.88	3.66	5.09	1.35	3.72	6.85	3.74
ENSMUSG00000032035	11.49	13.55	11.62	34.21	19.99	19.91	14.58	13.15	13.91
ENSMUSG00000044811	2.58	2.14	3.55	25.56	16.72	26.01	21.03	16.99	9.32
ENSMUSG00000024164	39.34	46.37	54.28	832.27	330.64	322.1	244.78	359.09	83.99
ENSMUSG00000022324	22.15	24.87	22.89	72.33	45.69	32.47	23.12	32.38	20.23
ENSMUSG00000078771	4.46	5.61	4.77	20.32	14.17	20.05	18.18	17.06	10.6
ENSMUSG00000024730	394.61	370.51	339.39	608.81	945.4	854.38	563.32	446.24	818.31
ENSMUSG00000078439	229.76	249.97	259.75	98.45	173.96	66.07	123.73	164.95	178.97
ENSMUSG00000069806	6.43	5.36	5.49	14.04	12.66	8.84	7.88	8.2	6.74
ENSMUSG00000046805	21.44	22.57	22	142.51	105.48	174.69	109.98	83.23	68.5
ENSMUSG00000097493	5.85	4.49	2.9	2.58	2.02	1.23	1.89	2.48	1.72
ENSMUSG00000030717	82.67	81.03	120.53	138.99	218.8	676.18	411.58	665.24	377.2
ENSMUSG00000045551	0	0	0.15	10.84	1.77	2.12	1.5	1.54	0.19
ENSMUSG00000040663	2.42	3.54	1.94	7.49	5.44	5.36	4.13	4.61	2.91
ENSMUSG00000109084	1.68	1.1	1.52	3.04	3.45	3.04	3.01	1.43	2.98
ENSMUSG00000024697	43.92	31.89	38.92	79.03	144.13	82.29	47	28.48	50.13
ENSMUSG00000027639	125.93	85.41	109.24	137.84	158.37	420.95	244.25	132.96	173.17
ENSMUSG00000134173	14.81	19.23	16.82	8.95	8.18	4.86	5.14	6.19	7.5
ENSMUSG00000070284	27.67	26.82	15.41	46.44	45.49	47.13	43.86	33.83	61.25
ENSMUSG00000049037	3.01	3.91	2.8	26.71	22.71	21.05	16.61	18.48	11.32
ENSMUSG00000075420	103.08	111.24	101.23	48.53	49.62	34.19	86.02	133.21	121.92
ENSMUSG00000130949	2.94	4.2	3.56	1.65	1.73	0.23	1	1.51	1.43
ENSMUSG00000026073	0.29	0.77	0.16	30.43	10.28	11.52	10.53	6.21	1.66
ENSMUSG00000091575	20.93	17.36	17.05	33.17	55.42	30.84	12.01	7.87	18.81
ENSMUSG00000124420	0.97	1.33	1.3	3.42	2.94	2.7	2.75	1.25	1.1
ENSMUSG00000030798	10.78	15.02	13.92	55.84	19.87	24.83	17.31	15.29	13.45
ENSMUSG00000049191	1.64	2.14	1.45	3.46	5.37	8.22	1.75	1.98	3.01
ENSMUSG00000030406	0.73	0.8	1.31	0.53	0.97	0.62	0.21	0.3	0.2
ENSMUSG00000137707	3.89	2.04	0.79	3.85	8.8	3.55	3.63	3.52	5.78
ENSMUSG00000032363	2.58	3.09	2.14	10.63	3.11	2.98	2.56	3.26	1.34
ENSMUSG00000018774	17.57	16.49	12.44	97.12	83.19	80.95	52.83	45.97	56.31
ENSMUSG00000018920	19.19	13.08	12.97	55.18	43.45	44.49	51.61	50.36	29.08
ENSMUSG00000003271	30.01	35.3	18.92	7.46	19.83	11.28	16.31	22.71	25.83
ENSMUSG00000049241	1.61	1.46	2.01	3.32	4.49	2.41	1.6	2.44	1.86
ENSMUSG00000078974	9.77	16	16.27	17.94	12.12	28.69	24.64	31.89	30.42
ENSMUSG00000120913	3.23	2.62	1.85	7.45	10.86	3.64	3.86	3.95	5.94
ENSMUSG00000047728	18.49	14.79	25.54	43.5	84.23	59.23	35.49	27.12	35.25
ENSMUSG00000029661	168.09	150.51	126.73	519.84	257.38	309.56	222.18	387.34	142.43
ENSMUSG00000078566	34.44	32.35	50.06	70.57	133.02	65.66	28.25	31.54	24.8
ENSMUSG00000070873	0.27	0.35	0.34	3.04	1.35	2.43	1.46	2.69	1.01
ENSMUSG00000005973	13.22	12.59	17.98	35.79	19.98	28.6	17.32	29.34	15.27
ENSMUSG00000025911	1.4	1.1	1.96	3.24	2.73	4.42	2.41	3.17	2.04
ENSMUSG00000050105	4.23	2.93	3.1	6.9	22.08	10	4.8	4.54	6.19
ENSMUSG00000047215	1345.88	1565.35	1785.18	1092.42	1070.23	891.43	1608.3	2161.81	1598.85
ENSMUSG00000047867	11.95	11.93	16.15	42.26	24.26	22.28	16.72	14.18	11.41
ENSMUSG00000103037	1.13	1.11	0.45	1.81	1.72	2.23	0.57	0.92	0.65
ENSMUSG00000032297	2.8	3.4	1.18	3.5	7.4	3.59	2.11	2.61	2.6
ENSMUSG00000125526	44.18	59.34	50.3	26.26	27.31	15.04	29.28	19.87	39.92
ENSMUSG00000049134	4.94	4.57	7.03	3.65	5.26	1.64	1.71	1.03	2.57
ENSMUSG00000127162	7.15	8.3	12.72	3.93	6.58	3.35	3.22	5.92	4.64
ENSMUSG00000032978	19.56	19.7	20.31	17.77	3.62	3.31	17.72	68.52	14.34
ENSMUSG00000076564	116.26	80.78	49.05	80.4	44.08	62.64	767.14	50.06	252.78
ENSMUSG00000004633	1.5	2.25	2.68	4.38	3.93	4.78	3.52	16.01	2.48
ENSMUSG00000030075	0.27	0.34	0.35	0.89	0.79	0.52	0.53	1.4	0.38
ENSMUSG00000021262	11.55	15.93	12.62	45.76	23.36	46.29	35.78	31.49	15.47
ENSMUSG00000048218	3.77	4.82	2.95	8.28	6.74	7.78	4.6	6.31	5.11
ENSMUSG00000025964	11.23	8.96	11.7	31.93	26.22	19.1	15.91	19.11	18.69
ENSMUSG00000120334	8.56	5.39	8.86	3.1	2.13	0.84	2.26	4.74	3.15
ENSMUSG00000140657	8.62	7.51	6.36	3.41	3.68	2.23	2.93	2.92	3.81
ENSMUSG00000038578	2.24	2.54	1.56	13.84	8.63	3.51	3.36	5.56	3.47
ENSMUSG00000079056	1.93	0.98	1.63	3.59	3.9	2.95	1.62	2.04	1.48
ENSMUSG00000028581	23.41	22.84	19.41	144.32	92.8	107.68	80.93	75.66	48.34
ENSMUSG00000034320	255.22	275.35	297.98	104.07	200.72	72.19	99.76	65.39	232.91
ENSMUSG00000057137	12.63	10.41	17.59	18.07	25.94	39.66	19.58	18.97	25.73
ENSMUSG00000040855	10.94	8.54	11.17	4.4	5.47	4.09	5.34	6.6	7.13
ENSMUSG00000028860	68.56	51.76	50.91	16.21	37.54	15.14	25.42	14.32	41.34
ENSMUSG00000128022	29.44	15.11	26.43	56.72	176.45	91.77	18.74	3.82	35.26
ENSMUSG00000041301	38.39	40.82	30.76	10.36	5.19	1.05	15.43	23.6	16.16
ENSMUSG00000027359	4.68	2.13	3.99	0.1	0.22	0.07	0.85	5.63	0.28
ENSMUSG00000020988	12.3	13.73	11.7	8.39	4.47	3.25	5.52	7.92	4.83
ENSMUSG00000060216	19.11	17.05	14.53	62.98	53.5	46.76	36.34	41.41	24.96
ENSMUSG00000025279	2.29	2.24	2.51	6.24	9.19	20.11	10.39	5.26	6.98
ENSMUSG00000100075	1.7	1.87	1.65	1.05	1.1	1.06	0.59	0.81	0.45
ENSMUSG00000031101	2.84	2.89	2.51	13.82	10.06	11.34	8.67	7.27	5.74
ENSMUSG00000103270	0.66	1.26	1.59	1.11	0.36	0.52	0.19	0.2	0.57
ENSMUSG00000034116	6.35	6.63	5.82	25.3	18.8	15.75	12.79	11	10.23
ENSMUSG00000036596	0.13	0.32	0.36	5.28	0.59	1.54	1.12	4.05	0
ENSMUSG00000048603	4.04	10.06	6.88	3.47	2.63	1.85	3.46	3.26	4.48
ENSMUSG00000029168	0.7	0.83	0.46	1.79	1.9	1.32	1.06	0.72	0.86
ENSMUSG00000029669	25.63	29.15	39.76	13.53	16	6.62	9.07	24.24	11.67
ENSMUSG00000084970	4.61	4.89	10.02	3.68	4.14	2.73	2.34	1.43	3.84
ENSMUSG00000033191	9.97	9.32	9.32	21.75	20.26	12.76	8.03	6.53	7.81
ENSMUSG00000020182	81.01	95.42	93.73	34.27	27.97	23.08	29.72	23.5	51.05
ENSMUSG00000020140	5.17	5.94	4.03	0.07	0.07	0.07	0.31	3.06	0.01
ENSMUSG00000039206	5.36	4.75	4.37	11.24	15.22	9.48	7.7	12.77	5.59
ENSMUSG00000066677	0.67	0.59	0.68	1.21	1.38	3.69	1.55	1.15	0.88
ENSMUSG00000020275	4.17	3.81	3.04	17.25	25.85	21.75	7.24	3.52	6.5
ENSMUSG00000050921	1.16	1.86	0.81	9.12	4.44	7.15	4.86	2.11	3.67
ENSMUSG00000022018	28.88	27.72	18.35	8.88	10.26	8.23	7.72	13.34	4.97
ENSMUSG00000030364	258.21	223.03	294.69	336.8	624.92	528.09	417.4	408.2	475.52
ENSMUSG00000023070	1.85	2.15	2.17	0.72	0.2	0.18	1.44	1.27	0.59
ENSMUSG00000032773	4.58	2.79	3.35	1	0.92	1.36	0.76	3.6	1.65
ENSMUSG00000046191	0.6	0.71	0.72	2.31	1.79	2.19	1.15	1.18	1.03
ENSMUSG00000134910	1.37	0.53	0.77	9.4	5.28	6.06	6.13	4.88	2.5
ENSMUSG00000022947	38.73	43.97	22.39	13.83	15.2	8.06	16.1	28.97	21.53
ENSMUSG00000025780	113.88	109.92	122.91	47.29	63.76	32.52	43.21	23.19	82.54
ENSMUSG00000096255	43.77	50.16	66.1	74.27	71.73	64.98	102.11	105.26	86.96
ENSMUSG00000079484	10.75	11.78	10.33	34.02	33.19	27	10.98	20.08	11.13
ENSMUSG00000029545	126.04	95.72	94.96	60.05	78.11	37.41	76.46	146.89	92.69
ENSMUSG00000026712	12.83	12.16	10.7	52.84	47.5	31.04	25.74	26.96	25.94
ENSMUSG00000001020	30.62	51.37	56.44	133.38	102.85	152.94	101.02	80.07	100.57
ENSMUSG00000021704	15.75	18.11	17.12	9.34	8.69	6.08	6.78	5.46	6.91
ENSMUSG00000000126	0.94	1.05	0.8	1.49	2.4	1.47	0.54	0.65	1
ENSMUSG00000000416	8.95	11.27	8.07	3.6	4.14	2.91	4.6	3.46	3.02
ENSMUSG00000034612	3.17	3.26	3.19	12.15	7.61	5.94	4.83	3.64	3.71
ENSMUSG00000040164	0.77	0.49	0.51	3.85	1.53	1.21	0.59	0.26	1.06
ENSMUSG00000070034	14.6	12.02	14.09	27.67	28.21	50.99	27.29	17.06	25
ENSMUSG00000002257	2.22	2.97	1.82	9.86	7.75	6.07	3.77	5.87	2.6
ENSMUSG00000028480	8.51	10.46	7.46	28.59	13.64	23.6	20.08	30.5	15.78
ENSMUSG00000038886	19.71	17.67	14.51	50.14	33.72	27.42	19.85	23.72	18.37
ENSMUSG00000039648	49.5	48.95	57.18	14.33	37.18	8.18	12.81	6.57	12.56
ENSMUSG00000044708	0.66	0.92	0.97	2.21	2.6	3.39	2.23	2.9	1.69
ENSMUSG00000056290	2.12	3.44	0.88	6.28	4.74	17.06	13.52	11.53	5.36
ENSMUSG00000020932	1.8	2.9	2.77	12.07	13.23	12.68	3.77	6.2	6.43
ENSMUSG00000040990	12.34	14.32	9.59	33.26	26.22	26.93	19.02	15.6	23.94
ENSMUSG00000029126	12.36	8.77	6.2	31.88	22.5	21.65	12.25	10.15	11.3
ENSMUSG00000023829	10.04	7.88	15.75	4.34	3.34	4.31	6.6	28.62	5.6
ENSMUSG00000053279	47.94	49.7	43.31	35.19	29.64	31.71	31.51	167.11	41.41
ENSMUSG00000036905	57.9	43.18	53.08	237.25	227.26	242.19	207.19	207.38	126.23
ENSMUSG00000078377	11.24	7.08	27.34	0	0	0	17.03	29.93	4.78
ENSMUSG00000045733	0.74	0.59	0.71	1.32	1.66	1.6	0.64	0.91	1.02
ENSMUSG00000062585	0.93	0.87	1.01	3.72	2.23	3.09	1.58	1.16	1.78
ENSMUSG00000024663	6.37	5.79	5.49	17.1	19.89	11.93	10.83	12.4	9.26
ENSMUSG00000110494	2.55	2.52	2.34	1.05	2.49	0.61	0.54	0.56	1.2
ENSMUSG00000013418	15.04	17.91	11.33	58.65	58.25	38.52	43.22	161.4	29.32
ENSMUSG00000006519	101.38	104.52	91.36	320.72	189.82	226.67	240.15	278.18	186.85
ENSMUSG00000061353	66.2	66.11	80.08	459.79	309.6	208.19	176.73	256.06	120.57
ENSMUSG00000058755	0.16	0.08	0.12	4.17	1.69	1.71	2.29	0.85	0.76
ENSMUSG00000055541	3.77	2.58	2.55	12.49	16.45	17.72	11.13	9.74	5.95
ENSMUSG00000042118	0	0	0	2.61	1.13	1.6	0.94	0.64	0.48
ENSMUSG00000006800	19.23	18.13	16.14	51.46	41.02	33.03	35.01	33.32	25.78
ENSMUSG00000027556	1226.5	1846.91	1147.56	840.16	769.93	192.27	653.48	3520.27	1779.9
ENSMUSG00000070661	97.48	88.71	80.29	35.9	26.39	10.55	58.64	77.03	53.7
ENSMUSG00000039153	1.74	2.52	2.4	5.45	3.34	2.7	3	2.62	2.01
ENSMUSG00000116461	1.73	0.74	1.31	0.76	1.26	0.92	0.33	0.57	0.36
ENSMUSG00000029591	14.92	17	7.08	7.1	3.73	2.34	6.17	11.1	4.27
ENSMUSG00000029204	0.88	1.67	0.76	5.6	2.33	3.83	3.61	2.47	1.51
ENSMUSG00000034641	0.87	0.88	0.83	14.66	5.17	6.99	6.85	8.79	4.82
ENSMUSG00000066894	82.74	82.17	91.55	37.01	38.24	23.02	31.35	44.72	50.82
ENSMUSG00000028391	5	3.58	4.1	3.4	1.38	0.8	1.6	1.85	2.17
ENSMUSG00000022037	55.75	82.66	77.8	133.25	134	157.56	105.37	40.27	79.14
ENSMUSG00000085881	12.65	15.34	15.35	3.33	7.46	2.45	2.3	8.22	4.79
ENSMUSG00000029163	40.59	34.49	34.09	122.62	102.92	69.48	57.79	87.67	36.22
