geneID	Control_1	Control_2	Control_3	DSS_1	DSS_2	DSS_3	ZnCA_1	ZnCA_2	ZnCA_3
ENSMUSG00000062328	833.53	1015.32	1205.47	835.58	744.64	740.29	1482.21	2419.24	1036.21
ENSMUSG00000032554	73.97	65.27	70.55	166.77	101.34	137.39	86.47	150.85	57.57
ENSMUSG00000049811	11.63	10.05	18.32	4.57	7.5	4.71	3.68	4.02	5.33
ENSMUSG00000046519	149.94	184.19	163.42	87.54	93.98	55.4	97.28	116.2	166.4
ENSMUSG00000044674	29.98	27.24	27.92	71.36	73.55	50.26	35.99	29.3	31.07
ENSMUSG00000022102	2.38	1.73	2	7.19	6.01	11.11	4.31	4.1	2.86
ENSMUSG00000096718	0.48	0.38	0.62	1.1	1.35	0.92	0.58	1.17	1.04
ENSMUSG00000030471	78.96	61.58	47.34	93.64	165.7	127.71	64.27	47.78	106.36
ENSMUSG00000044199	1.32	1.21	0.89	3.56	2.48	1.74	1.66	1.1	0.81
ENSMUSG00000060568	0.95	0.96	0.74	2.14	2.09	1.95	0.68	1.36	1.39
ENSMUSG00000051735	2.51	3.44	1.97	11.77	8.84	9	9.66	5.64	4.1
ENSMUSG00000090115	10.71	10.07	8.69	6.83	4.33	2.35	3.01	4.5	5.74
ENSMUSG00000020395	0.43	0.34	0.57	1.9	1.49	1.98	0.86	1.35	0.88
ENSMUSG00000002227	19.78	12.38	13.28	28.76	33.74	42.19	21.89	21.9	20.79
ENSMUSG00000037337	2.25	4.3	2.11	9.95	5.15	7.85	6.72	5.29	2.37
ENSMUSG00000038517	5.27	2.88	2.2	11.94	8.28	11.74	4.78	5.84	5.55
ENSMUSG00000121350	2.09	1.51	2.71	3.25	3.48	2.55	0.49	0.8	1.82
ENSMUSG00000112023	6.7	5.25	7.65	61.02	21.11	35.03	33.95	23.45	22.39
ENSMUSG00000008318	1	0.78	1.36	7.14	8.21	5.94	3.56	3.17	2.72
