"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000074195",27044.3522122239,10.5874595517078,0.726453103691069,14.5741817302638,4.10005827793581e-48,3.37496297148286e-44
"ENSMUSG00000009185",851.549246538723,6.57963188296988,0.479677086370622,13.7167942141104,8.05488623353959e-43,4.42025306875874e-39
"ENSMUSG00000026656",1748.76601144496,3.27828443060974,0.241894895762696,13.5525159399221,7.65603218122508e-42,3.15103144498771e-38
"ENSMUSG00000021091",8173.87745907543,4.77000637475972,0.355516005845699,13.4171353647295,4.7990801796221e-41,1.58014513994237e-37
"ENSMUSG00000040809",372.415468293504,6.7807776639389,0.507912443632595,13.3502885171364,1.17991040698526e-40,3.23747750503305e-37
"ENSMUSG00000069792",477.324464240053,4.62898204709926,0.351087931589827,13.1846800490632,1.07509135692057e-39,2.52846128699763e-36
"ENSMUSG00000027068",734.200454163018,5.01255521671007,0.394736842081307,12.6984732164362,6.02945202629005e-37,1.10292076343126e-33
"ENSMUSG00000018774",627.190673963815,2.4868162202361,0.198283801704003,12.5417013334675,4.41415811766296e-36,7.26702850910852e-33
"ENSMUSG00000026712",1732.31679724189,1.88954419688056,0.151241668526518,12.4935423900673,8.09666507990024e-36,1.21177633827634e-32
"ENSMUSG00000042429",360.536107116382,3.80197322885353,0.308564816483839,12.3214735632462,6.94141922284609e-35,9.52304872214293e-32
"ENSMUSG00000030218",2274.53056845969,2.26750224129066,0.185163952318181,12.2459161888824,1.76670633654292e-34,2.23732972450047e-31
"ENSMUSG00000039109",1058.47044430329,1.67327298143978,0.137219264396237,12.1941550175346,3.33950032355133e-34,3.92701384475897e-31
"ENSMUSG00000058818",768.417100547832,3.25735969616557,0.272594199541035,11.9494827903527,6.53305408714997e-33,7.17024462911666e-30
"ENSMUSG00000012428",1049.64899784021,4.03409514158599,0.356490183109886,11.3161465103865,1.09165792937994e-29,1.12324778071137e-26
"ENSMUSG00000024679",458.259571198926,3.76147055216799,0.334442939222634,11.246972535617,2.39678134804874e-29,2.32107125487803e-26
"ENSMUSG00000028859",272.208061515794,5.35651886097803,0.479527890799788,11.170401062687,5.69232738069359e-29,5.20626587046436e-26
"ENSMUSG00000079012",246.921884953635,6.46060964955737,0.584071029026889,11.0613424198103,1.93184286388425e-28,1.6738910035856e-25
"ENSMUSG00000027962",1819.62614699848,3.1757819849555,0.292492025265867,10.8576703315887,1.83367490091772e-27,1.50938949469042e-24
"ENSMUSG00000037095",1721.45581971183,5.834890681785,0.538824154187645,10.8289330321168,2.51063639454992e-27,1.87875486197615e-24
"ENSMUSG00000056749",311.839209039097,3.20906763777938,0.29758536488972,10.7836876956923,4.11068440418585e-27,2.81975822275466e-24
"ENSMUSG00000028544",851.773152231145,3.75497351357241,0.348181888045685,10.7845170656313,4.07377418674021e-27,2.81975822275466e-24
"ENSMUSG00000025491",1195.32215670454,3.68478084217142,0.342081778144306,10.7716373031042,4.68592914316926e-27,3.08577805935982e-24
"ENSMUSG00000024059",267.548907034334,1.87633795889528,0.174452964112927,10.7555521824248,5.57988178052727e-27,3.53313822126232e-24
"ENSMUSG00000027225",1404.29253473365,4.0152389257514,0.376683494046678,10.659450146371,1.57525990143379e-26,9.26196562760873e-24
"ENSMUSG00000028655",235.411075965507,6.30627137021138,0.594233927298254,10.612439109432,2.60849175644847e-26,1.43145332621371e-23
"ENSMUSG00000042286",2242.48509846761,1.60116150772489,0.150875540184645,10.6124657831571,2.60774702282146e-26,1.43145332621371e-23
"ENSMUSG00000021322",207.580224852914,3.16646217494318,0.300869632459427,10.5243661484188,6.67089075119825e-26,3.43196482615552e-23
"ENSMUSG00000022146",1009.30587308556,2.31740293420964,0.221783004204629,10.4489653863264,1.4813234182856e-25,7.39000831370785e-23
"ENSMUSG00000140105",788.92465259795,3.87562646761108,0.371750527183792,10.4253422233749,1.8997419877342e-25,9.1986624541377e-23
"ENSMUSG00000016024",891.026116712789,4.16771499255483,0.401814489417278,10.3722366970862,3.31669170359988e-25,1.56007701475328e-22
"ENSMUSG00000029816",600.076489947313,2.52316390269454,0.244542588202235,10.3178915429156,5.84935438544887e-25,2.67494225687902e-22
